country_name,country_code,population_1990,population_1991,population_1992,population_1993,population_1994,population_1995,population_1996,population_1997,population_1998,population_1999,population_2000,population_2001,population_2002,population_2003,population_2004,population_2005,population_2006,population_2007,population_2008,population_2009,population_2010,population_2011,population_2012,population_2013,population_2014,population_2015,population_2016,population_2017,population_2018,population_2019,population_2020
ARUBA,ABW,879.0,1946.0,1294.0,1662.0,1668.0,1598.0,1636.0,1656.0,1786.0,1828.0,1235.0,560.0,350.0,324.0,315.0,579.0,569.0,621.0,666.0,703.0,498.0,315.0,229.0,134.0,88.0,177.0,170.0,218.0,367.0,412.0,0.0
AFGHANISTAN,AFG,-666001.0,39926.0,1834556.0,1171818.0,665410.0,71824.0,27194.0,6129.0,35740.0,85758.0,-1007135.0,-192286.0,1327074.0,388632.0,-248616.0,252185.0,62684.0,-942887.0,221000.0,-58881.0,-141355.0,418796.0,105905.0,48076.0,255611.0,-281739.0,-90238.0,-47090.0,-47205.0,-8082.0,166821.0
ANGOLA,AGO,47663.0,33925.0,39196.0,38883.0,45272.0,40855.0,45356.0,49960.0,51856.0,51687.0,53527.0,56959.0,60505.0,59438.0,66585.0,64009.0,70170.0,73940.0,73804.0,77265.0,90016.0,94709.0,96056.0,91528.0,84532.0,74170.0,91623.0,77733.0,61632.0,58986.0,7557.0
ALBANIA,ALB,-52723.0,-56599.0,-59634.0,-61925.0,-63700.0,-65106.0,-65800.0,-65975.0,-65616.0,-64787.0,-63610.0,-62059.0,-59876.0,-57308.0,-54383.0,-50855.0,-47174.0,-43019.0,-38736.0,-34116.0,-29330.0,-24465.0,-19946.0,-16845.0,-14265.0,-12240.0,-10887.0,-9768.0,-9106.0,-8889.0,-9117.0
ANDORRA,AND,1589.0,1501.0,1446.0,1530.0,1474.0,1588.0,182.0,140.0,183.0,39.0,146.0,2690.0,2690.0,2722.0,2744.0,2467.0,-2420.0,-2446.0,-2584.0,-2678.0,-2864.0,27.0,33.0,12.0,-84.0,-232.0,1303.0,887.0,1184.0,1238.0,1474.0
UNITED ARAB EMIRATES,ARE,64939.0,64706.0,63263.0,62946.0,59748.0,64261.0,130051.0,131906.0,133350.0,133289.0,131735.0,130241.0,128160.0,124550.0,122863.0,339380.0,781672.0,1037187.0,1040422.0,783241.0,-13726.0,-15738.0,-16401.0,-15566.0,-14954.0,-14154.0,-13520.0,-12895.0,-8582.0,-4466.0,-2762.0
ARGENTINA,ARG,6021.0,-8569.0,-13201.0,-16383.0,-18725.0,-19736.0,-20396.0,-20588.0,-20331.0,-20220.0,-22770.0,-22787.0,-22668.0,-22353.0,-22336.0,-21961.0,-19958.0,-18051.0,-12450.0,-7869.0,-4970.0,-1011.0,3127.0,5369.0,5801.0,5522.0,5215.0,4926.0,4690.0,4478.0,2344.0
ARMENIA,ARM,2119.0,5419.0,-196273.0,-126968.0,-112567.0,-50217.0,-51023.0,-51638.0,-52266.0,-52843.0,-51873.0,-44486.0,-34971.0,-30238.0,-30623.0,-31023.0,-31302.0,-31530.0,-31822.0,-32000.0,-31991.0,-29214.0,-28731.0,-28257.0,-27763.0,-27283.0,-26804.0,-26326.0,-25835.0,-25363.0,-12825.0
AMERICAN SAMOA,ASM,-251.0,-505.0,-516.0,-522.0,-476.0,-419.0,-385.0,-405.0,-451.0,-452.0,-1158.0,-1503.0,-1583.0,-1647.0,-1701.0,-1697.0,-1661.0,-1618.0,-1586.0,-1527.0,-1475.0,-1509.0,-1538.0,-1575.0,-1602.0,-1629.0,-1641.0,-1652.0,-1652.0,-1650.0,-1636.0
ANTIGUA AND BARBUDA,ATG,-1145.0,223.0,405.0,484.0,513.0,528.0,478.0,493.0,465.0,390.0,271.0,148.0,51.0,41.0,101.0,202.0,314.0,372.0,369.0,338.0,295.0,247.0,203.0,156.0,108.0,60.0,16.0,0.0,0.0,0.0,0.0
AUSTRALIA,AUS,95996.0,68867.0,34149.0,23422.0,53636.0,79727.0,82770.0,67260.0,72084.0,85011.0,109375.0,113907.0,107886.0,103907.0,109226.0,132109.0,192139.0,251231.0,278516.0,235881.0,166833.0,197748.0,235719.0,214564.0,198120.0,209466.0,242184.0,244875.0,220307.0,235860.0,117929.0
AUSTRIA,AUT,59606.0,77195.0,71035.0,33610.0,2844.0,1447.0,3969.0,1459.0,8493.0,19768.0,17531.0,39173.0,37429.0,44003.0,54907.0,50282.0,25420.0,23729.0,25499.0,17121.0,22786.0,31665.0,44891.0,56494.0,74263.0,115125.0,66282.0,45573.0,35404.0,41105.0,20314.0
AZERBAIJAN,AZE,-28017.0,-25282.0,-23316.0,-22817.0,-37037.0,-37975.0,-38092.0,-40423.0,-46097.0,5300.0,15938.0,16248.0,15071.0,13154.0,13488.0,16436.0,16909.0,17111.0,15048.0,890.0,1384.0,1688.0,1988.0,2289.0,1084.0,1084.0,1484.0,1184.0,1583.0,392.0,1084.0
BURUNDI,BDI,-39996.0,-39298.0,35771.0,-686089.0,516369.0,-84698.0,-226350.0,-84365.0,13841.0,-34507.0,-40114.0,9965.0,-16881.0,36721.0,47090.0,17913.0,15322.0,22120.0,79323.0,184361.0,11847.0,-19517.0,22613.0,-2295.0,-6856.0,-236447.0,-109490.0,-68450.0,68145.0,14241.0,-10186.0
