country_name,country_code,population_1990,population_1991,population_1992,population_1993,population_1994,population_1995,population_1996,population_1997,population_1998,population_1999,population_2000,population_2001,population_2002,population_2003,population_2004,population_2005,population_2006,population_2007,population_2008,population_2009,population_2010,population_2011,population_2012,population_2013,population_2014,population_2015,population_2016,population_2017,population_2018,population_2019,population_2020
IBRD ONLY,IBD,171261.0,-2084578.0,-2545092.0,-2967637.0,-2075304.0,-2070812.0,-1774146.0,-1544417.0,-1492483.0,-1399611.0,-1178273.0,-1551642.0,-2207715.0,-1523884.0,-1132567.0,-2011912.0,-2830766.0,-3037080.0,-1968963.0,-1876251.0,-970667.0,-1140918.0,435416.0,1778455.0,1608501.0,901570.0,-604923.0,-941646.0,-1747717.0,-1760407.0,-292787.0
IDA & IBRD TOTAL,IBT,-1708073.0,-3325266.0,-3055723.0,-2787435.0,-2776557.0,-2711164.0,-3017741.0,-3065388.0,-2997482.0,-2925317.0,-2836486.0,-2836546.0,-3441316.0,-3526798.0,-3654102.0,-4388235.0,-5172460.0,-5955151.0,-5548243.0,-4633243.0,-3567080.0,-3946885.0,-3929930.0,-3705364.0,-3390883.0,-3920933.0,-3881250.0,-4107622.0,-4083590.0,-3891389.0,-689611.0
IDA TOTAL,IDA,-1879334.0,-1240688.0,-510631.0,180202.0,-701253.0,-640352.0,-1243595.0,-1520971.0,-1504999.0,-1525706.0,-1658213.0,-1284904.0,-1233601.0,-2002914.0,-2521535.0,-2376323.0,-2341694.0,-2918071.0,-3579280.0,-2756992.0,-2596413.0,-2805967.0,-4365346.0,-5483819.0,-4999384.0,-4822503.0,-3276327.0,-3165976.0,-2335873.0,-2130982.0,-396824.0
IDA BLEND,IDB,28370.0,-97838.0,-1330261.0,-229168.0,-404173.0,189426.0,46043.0,41418.0,75399.0,49466.0,851379.0,250304.0,-986195.0,-683433.0,-639997.0,-829687.0,-714713.0,-733553.0,-682008.0,-428201.0,-551721.0,-1032402.0,-1747481.0,-2046249.0,-2146312.0,-2459914.0,-2461971.0,-1778968.0,-1638982.0,-1487064.0,-694545.0
IDA ONLY,IDX,-1907704.0,-1142850.0,819630.0,409370.0,-297080.0,-829778.0,-1289638.0,-1562389.0,-1580398.0,-1575172.0,-2509592.0,-1535208.0,-247406.0,-1319481.0,-1881538.0,-1546636.0,-1626981.0,-2184518.0,-2897272.0,-2328791.0,-2044692.0,-1773565.0,-2617865.0,-3437570.0,-2853072.0,-2362589.0,-814356.0,-1387008.0,-696891.0,-643918.0,297721.0
EAST ASIA & PACIFIC (IDA & IBRD COUNTRIES),TEA,-229559.0,-858079.0,-718425.0,-671154.0,-496492.0,-630069.0,-376215.0,-328211.0,-236783.0,-467789.0,-718186.0,-738769.0,-741027.0,-850135.0,-736557.0,-879764.0,-819674.0,-751099.0,-798914.0,-641987.0,-484312.0,-265974.0,-257131.0,-335553.0,-469522.0,-231779.0,-74506.0,-217660.0,-453509.0,-467301.0,-113166.0
EUROPE & CENTRAL ASIA (IDA & IBRD COUNTRIES),TEC,-339957.0,-505894.0,-862365.0,-506483.0,-889756.0,-553730.0,-641143.0,-821617.0,-1188006.0,-647949.0,-30525.0,-400386.0,-343997.0,-215465.0,-231899.0,-251418.0,-256271.0,-239236.0,-212689.0,-61918.0,-165825.0,-23055.0,287660.0,343508.0,534556.0,367540.0,362637.0,-288666.0,-314596.0,-218512.0,80824.0
LATIN AMERICA & THE CARIBBEAN (IDA & IBRD COUNTRIES),TLA,-610598.0,-764501.0,-707802.0,-765068.0,-689675.0,-774004.0,-779070.0,-755686.0,-757041.0,-831172.0,-884758.0,-900177.0,-897925.0,-956510.0,-880840.0,-1002451.0,-984328.0,-957240.0,-983347.0,-904804.0,-532835.0,-431889.0,-431934.0,-471760.0,-418542.0,-349643.0,-63654.0,-207999.0,-335008.0,-388296.0,-150854.0
MIDDLE EAST & NORTH AFRICA (IDA & IBRD COUNTRIES),TMN,744224.0,-38104.0,-366573.0,-1138337.0,-293378.0,-293861.0,-187407.0,20370.0,88196.0,98231.0,258325.0,182404.0,-625862.0,114153.0,298969.0,161413.0,77511.0,-70843.0,-102161.0,-98267.0,-17555.0,-931183.0,-379456.0,-18548.0,151572.0,-217777.0,-520948.0,-667613.0,50634.0,-19956.0,-55547.0
SOUTH ASIA (IDA & IBRD),TSA,-765584.0,-545640.0,228485.0,796462.0,183479.0,-225905.0,-418704.0,-423233.0,-453522.0,-518744.0,-874181.0,-531153.0,-341162.0,-1176448.0,-1730551.0,-1920218.0,-2682220.0,-3496468.0,-2844393.0,-2232173.0,-1730760.0,-1412371.0,-2427962.0,-2752864.0,-2708921.0,-3523806.0,-2552785.0,-2181786.0,-2409118.0,-2281362.0,-302152.0
SUB-SAHARAN AFRICA (IDA & IBRD COUNTRIES),TSS,-506599.0,-613048.0,-629043.0,-502855.0,-590735.0,-233595.0,-615202.0,-757011.0,-450326.0,-557894.0,-587161.0,-448465.0,-491343.0,-442393.0,-373224.0,-495797.0,-507478.0,-440265.0,-606739.0,-694094.0,-635793.0,-882413.0,-721107.0,-470147.0,-480026.0,34532.0,-1031994.0,-543898.0,-621993.0,-515962.0,-148716.0
WORLD,WLD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
