country_name,country_code,population_1990,population_1991,population_1992,population_1993,population_1994,population_1995,population_1996,population_1997,population_1998,population_1999,population_2000,population_2001,population_2002,population_2003,population_2004,population_2005,population_2006,population_2007,population_2008,population_2009,population_2010,population_2011,population_2012,population_2013,population_2014,population_2015,population_2016,population_2017,population_2018,population_2019,population_2020
ARAB WORLD,ARB,-2012275.0,-322443.0,-263405.0,731021.0,-157334.0,-106482.0,-144006.0,17793.0,-23185.0,-34533.0,-4273.0,-182158.0,-87387.0,-247339.0,10402.0,820217.0,1327595.0,1631375.0,1470703.0,1117576.0,39096.0,-864858.0,-66311.0,340149.0,-184490.0,-194516.0,3140.0,13305.0,511128.0,139844.0,-1585167.0
CENTRAL EUROPE AND THE BALTICS,CEB,-132482.0,-164550.0,-226160.0,-146897.0,-147465.0,-229798.0,-211511.0,-227398.0,-226121.0,-202829.0,123701.0,-162378.0,-164421.0,-142746.0,-140237.0,-167658.0,-181600.0,-167129.0,-163098.0,-114334.0,-129981.0,-107546.0,-69859.0,-101267.0,-88917.0,-99535.0,-110911.0,-76183.0,-61261.0,-19843.0,-29918.0
EAST ASIA & PACIFIC (EXCLUDING HIGH INCOME),EAP,-229881.0,-858649.0,-718831.0,-671483.0,-497295.0,-633380.0,-379902.0,-332146.0,-240727.0,-471460.0,-722260.0,-742927.0,-745161.0,-854291.0,-740794.0,-884087.0,-824038.0,-755479.0,-803283.0,-646307.0,-488582.0,-270234.0,-261555.0,-340030.0,-474132.0,-236577.0,-79334.0,-222500.0,-458345.0,-471983.0,-116323.0
EUROPE & CENTRAL ASIA (EXCLUDING HIGH INCOME),ECA,-252265.0,-380575.0,-708012.0,-420933.0,-799278.0,-377596.0,-483138.0,-642112.0,-1010553.0,-489418.0,-203529.0,-273951.0,-208464.0,-86606.0,-102569.0,-96327.0,-81288.0,-80104.0,-50803.0,56929.0,-39193.0,45241.0,331662.0,396828.0,592084.0,455986.0,442175.0,-214294.0,-234824.0,-177605.0,105919.0
EURO AREA,EMU,592953.0,785488.0,796855.0,763987.0,696092.0,667986.0,623648.0,579964.0,539711.0,541019.0,552337.0,581604.0,1305491.0,1487711.0,1459457.0,1305525.0,1335318.0,1745258.0,1287426.0,829639.0,731809.0,656121.0,529516.0,367397.0,485170.0,676097.0,781283.0,883333.0,1027086.0,1102506.0,790465.0
EUROPEAN UNION,EUU,516313.0,683995.0,670047.0,709747.0,640169.0,529074.0,504922.0,442574.0,406258.0,428379.0,773989.0,519142.0,1235010.0,1438983.0,1416131.0,1238908.0,1257909.0,1682488.0,1231121.0,825168.0,720366.0,677777.0,587283.0,396229.0,526035.0,692113.0,788042.0,920207.0,1075197.0,1192639.0,872273.0
FRAGILE AND CONFLICT AFFECTED SITUATIONS,FCS,-1526038.0,-401812.0,1527280.0,1332480.0,2511170.0,-166078.0,-1428231.0,-1019651.0,-571381.0,-430566.0,-1459744.0,-711502.0,819370.0,-56296.0,-504508.0,-127235.0,-862159.0,-1353998.0,-314753.0,-437243.0,-646810.0,-1207009.0,-476685.0,-1094722.0,-1760926.0,-2267617.0,-1474058.0,-2320673.0,-1880351.0,-1468098.0,-499628.0
HEAVILY INDEBTED POOR COUNTRIES (HIPC),HPC,-1673421.0,-690497.0,1101436.0,816012.0,119311.0,-159930.0,-617944.0,-850449.0,-531909.0,-575014.0,-1651682.0,-802955.0,646391.0,-266275.0,-832272.0,-342704.0,-695753.0,-1558277.0,-609343.0,-937537.0,-1201553.0,-774337.0,-927382.0,-625153.0,-34392.0,-589781.0,370860.0,50447.0,-243350.0,-472979.0,60641.0
LATIN AMERICA & CARIBBEAN (EXCLUDING HIGH INCOME),LAC,-602467.0,-767520.0,-715534.0,-776865.0,-705322.0,-791410.0,-794323.0,-781335.0,-781587.0,-854904.0,-900348.0,-910493.0,-908077.0,-962179.0,-879393.0,-994496.0,-971252.0,-945837.0,-978542.0,-902542.0,-528995.0,-431414.0,-423521.0,-465252.0,-424666.0,-346081.0,72368.0,371346.0,726696.0,356034.0,262615.0
LEAST DEVELOPED COUNTRIES: UN CLASSIFICATION,LDC,-1706161.0,-978562.0,1064477.0,672870.0,-129193.0,-684906.0,-1147501.0,-1359542.0,-1039633.0,-1077135.0,-2262999.0,-1307432.0,22654.0,-1040422.0,-1609554.0,-1249137.0,-1994614.0,-2646320.0,-2159896.0,-1935416.0,-1589896.0,-1132353.0,-1251611.0,-970114.0,-1135712.0,-1333824.0,-476043.0,-891458.0,-1047507.0,-926233.0,96673.0
