country_name,country_code,population_1990,population_1991,population_1992,population_1993,population_1994,population_1995,population_1996,population_1997,population_1998,population_1999,population_2000,population_2001,population_2002,population_2003,population_2004,population_2005,population_2006,population_2007,population_2008,population_2009,population_2010,population_2011,population_2012,population_2013,population_2014,population_2015,population_2016,population_2017,population_2018,population_2019,population_2020
AFRICA EASTERN AND SOUTHERN,AFE,22815.0,-511160.0,-556663.0,-156997.0,-391945.0,-243945.0,-427138.0,-813478.0,-432996.0,-399164.0,-564510.0,-409728.0,-452301.0,-342557.0,-331713.0,-357877.0,-284378.0,-214900.0,-359068.0,-473488.0,-371556.0,-683611.0,-285231.0,-92842.0,-199608.0,394925.0,-864708.0,-343075.0,-366105.0,-187410.0,-48955.0
AFRICA WESTERN AND CENTRAL,AFW,-529414.0,-101888.0,-72380.0,-345858.0,-198790.0,10350.0,-188064.0,56467.0,-17330.0,-158730.0,-22651.0,-38737.0,-39042.0,-99836.0,-41511.0,-137920.0,-223100.0,-225365.0,-247671.0,-220606.0,-264237.0,-198802.0,-435876.0,-377305.0,-280418.0,-360393.0,-167286.0,-200823.0,-255888.0,-328552.0,-99761.0
EAST ASIA & PACIFIC,EAS,78472.0,-928972.0,-849505.0,-787093.0,-567071.0,-667831.0,-246490.0,-216329.0,-85117.0,-299757.0,-512945.0,-467909.0,-437152.0,-552288.0,-461359.0,-521185.0,-321151.0,-200845.0,-214278.0,-72566.0,19252.0,465510.0,526680.0,448601.0,325445.0,522034.0,539479.0,414719.0,205151.0,232677.0,180870.0
EUROPE & CENTRAL ASIA,ECS,353755.0,413431.0,50409.0,387534.0,-65762.0,253274.0,113260.0,-87120.0,-454077.0,131492.0,778557.0,487394.0,1312672.0,1644364.0,1622028.0,1466088.0,1518429.0,2002467.0,1607078.0,1275263.0,1084683.0,1121738.0,1315534.0,1196323.0,1504844.0,1514027.0,1586627.0,1026421.0,1142576.0,1314636.0,1259036.0
LATIN AMERICA & CARIBBEAN,LCN,-635393.0,-789362.0,-736813.0,-799413.0,-727304.0,-812708.0,-814722.0,-802462.0,-798462.0,-870278.0,-933168.0,-949876.0,-947054.0,-1001536.0,-922857.0,-1043018.0,-1021265.0,-998162.0,-1032747.0,-958488.0,-590240.0,-495889.0,-488483.0,-535370.0,-494419.0,-424043.0,-139806.0,-281608.0,-338149.0,-424522.0,-163087.0
MIDDLE EAST & NORTH AFRICA,MEA,-99275.0,759473.0,-11230.0,-984086.0,-180184.0,-142826.0,44978.0,265402.0,306224.0,303989.0,452463.0,355897.0,-465414.0,281105.0,487930.0,1196455.0,1692610.0,1807308.0,1757090.0,1412793.0,598246.0,-344284.0,230635.0,550874.0,401511.0,427751.0,-167117.0,-175273.0,398806.0,119982.0,-1699850.0
NORTH AMERICA,NAC,1566949.0,1696571.0,1940175.0,1881649.0,1939565.0,1816215.0,1922047.0,2006919.0,1926166.0,1811373.0,1681226.0,1559934.0,1374400.0,1257031.0,1393500.0,1334092.0,1315560.0,1319027.0,1333645.0,1271624.0,1258239.0,1551053.0,1568434.0,1563061.0,1446330.0,1454272.0,1769865.0,1739131.0,1619076.0,1550648.0,871032.0
SOUTH ASIA,SAS,-765584.0,-545640.0,228485.0,796462.0,183479.0,-225905.0,-418704.0,-423233.0,-453522.0,-518744.0,-874181.0,-531153.0,-341162.0,-1176448.0,-1730551.0,-1920218.0,-2682220.0,-3496468.0,-2844393.0,-2232173.0,-1730760.0,-1412371.0,-2427962.0,-2752864.0,-2708921.0,-3523806.0,-2552785.0,-2181786.0,-2409118.0,-2281362.0,-302152.0
SUB-SAHARAN AFRICA,SSF,-506599.0,-613048.0,-629043.0,-502855.0,-590735.0,-233595.0,-615202.0,-757011.0,-450326.0,-557894.0,-587161.0,-448465.0,-491343.0,-442393.0,-373224.0,-495797.0,-507478.0,-440265.0,-606739.0,-694094.0,-635793.0,-882413.0,-721107.0,-470147.0,-480026.0,34532.0,-1031994.0,-543898.0,-621993.0,-515962.0,-148716.0
WORLD,WLD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
