,Destination,Destination_Code,Origin,Origin_Code,1990,1995,2000,2005,2010,2015,2020,1990.1,1995.1,2000.1,2005.1,2010.1,2015.1,2020.1,1990.2,1995.2,2000.2,2005.2,2010.2,2015.2,2020.2
0,SubSaharanAfrica,947,SubSaharanAfrica,947,11491413,12385544,11091197,11723891,12954574,16017580,17808594,6137524,6531078,5859981,6328179,6902119,8414178,9335728,5353889,5854466,5231216,5395712,6052455,7603402,8472866
1,NorthernAfricaandWesternAsia,1833,SubSaharanAfrica,947,1586768,1308852,1130342,935949,1237662,1411666,2263512,808848,684237,609216,533314,702556,794916,1239795,777920,624615,521126,402635,535106,616750,1023717
2,CentralandSouthernAsia,921,SubSaharanAfrica,947,15147,10515,5889,38940,64296,59931,56069,7288,5068,2846,19438,23788,21464,19472,7859,5447,3043,19502,40508,38467,36597
3,EasternandSouthEasternAsia,1832,SubSaharanAfrica,947,1802,4211,8996,10175,10374,10449,14862,975,2167,4669,5287,5575,5622,7577,827,2044,4327,4888,4799,4827,7285
4,LatinAmericaandtheCaribbean,1830,SubSaharanAfrica,947,10072,11131,12546,14533,20198,30799,39576,5372,6005,6857,7679,11142,19154,25718,4700,5126,5689,6854,9056,11645,13858
5,OceaniaexcludingAustraliaandNewZealand,1835,SubSaharanAfrica,947,73,82,80,92,69,66,54,41,47,47,55,42,47,40,32,35,33,37,27,19,14
6,AustraliaandNewZealand,927,SubSaharanAfrica,947,114334,132399,178757,260831,357588,430302,504945,57379,66137,89113,130260,178469,216390,252742,56955,66262,89644,130571,179119,213912,252203
7,EuropeandNorthernAmerica,1829,SubSaharanAfrica,947,2115198,2636239,3210207,4290574,5297963,6236418,7596926,1119417,1383067,1673846,2202846,2707429,3106577,3851730,995781,1253172,1536361,2087728,2590534,3129841,3745196
8,Developedregions,901,SubSaharanAfrica,947,2230323,2771094,3392362,4555755,5660163,6671363,8107315,1177199,1450382,1764529,2335087,2887972,3325040,4106904,1053124,1320712,1627833,2220668,2772191,3346323,4000411
9,Lessdevelopedregions,902,SubSaharanAfrica,947,13104484,13717879,12245652,12719230,14282561,17525848,20177223,6959645,7227424,6482046,6891971,7643148,9253308,10625898,6144839,6490455,5763606,5827259,6639413,8272540,9551325
10,Leastdevelopedcountries,941,SubSaharanAfrica,947,8498497,8569356,6680097,6064182,6380416,8448441,10640181,4296905,4322415,3377559,3130821,3187367,4243576,5319082,4201592,4246941,3302538,2933361,3193049,4204865,5321099
11,LandlockedDevelopingCountriesLLDC,1636,SubSaharanAfrica,947,4561835,3127085,2971680,3007979,3544893,4928261,6097882,2339670,1602885,1507641,1508288,1780248,2475065,3019519,2222165,1524200,1464039,1499691,1764645,2453196,3078363
12,SmallislanddevelopingStatesSIDS,1637,SubSaharanAfrica,947,40763,54926,49357,51555,55082,57504,55288,20532,27487,24821,26248,28376,29805,29448,20231,27439,24536,25307,26706,27699,25840
13,Highincomecountries,1503,SubSaharanAfrica,947,2374363,2931807,3569702,4766977,5955493,7010597,8494297,1262102,1545450,1870783,2462573,3073069,3537776,4352021,1112261,1386357,1698919,2304404,2882424,3472821,4142276
14,Middleincomecountries,1517,SubSaharanAfrica,947,5809431,6809097,7078232,7928762,8590035,9954801,10519512,3261393,3728010,3868885,4487193,4764644,5412777,5773581,2548038,3081087,3209347,3441569,3825391,4542024,4745931
15,Uppermiddleincomecountries,1502,SubSaharanAfrica,947,1005076,1034589,1149081,1425053,2078039,2498650,2584922,675870,657961,707184,869450,1256380,1454530,1546192,329206,376628,441897,555603,821659,1044120,1038730
16,Lowermiddleincomecountries,1501,SubSaharanAfrica,947,4804355,5774508,5929151,6503709,6511996,7456151,7934590,2585523,3070049,3161701,3617743,3508264,3958247,4227389,2218832,2704459,2767450,2885966,3003732,3497904,3707201
17,Lowincomecountries,1500,SubSaharanAfrica,947,7129692,6707864,4923404,4493312,5300381,7125962,9137863,3601418,3383105,2473582,2235128,2647092,3577965,4544815,3528274,3324759,2449822,2258184,2653289,3547997,4593048
18,EasternAfrica,910,SubSaharanAfrica,947,5314011,4139044,3938090,3747156,3958289,5327613,6323588,2732189,2122317,2004938,1997783,1995102,2684274,3155379,2581822,2016727,1933152,1749373,1963187,2643339,3168209
19,Burundi,108,SubSaharanAfrica,947,272528,213186,111209,175242,226957,270062,311754,133575,103853,54083,85938,111473,132768,153332,138953,109333,57126,89304,115484,137294,158422
20,Comoros,174,SubSaharanAfrica,947,12017,11897,11778,11274,10769,10722,10667,5633,5546,5459,5273,5083,5099,5077,6384,6351,6319,6001,5686,5623,5590
21,Djibouti,262,SubSaharanAfrica,947,114621,93568,94253,86381,95947,99828,107554,60029,49033,49446,47983,50148,52543,56438,54592,44535,44807,38398,45799,47285,51116
22,Eritrea,232,SubSaharanAfrica,947,10446,10571,10693,13536,13195,12774,11142,5500,5626,5751,7378,7268,7139,6309,4946,4945,4942,6158,5927,5635,4833
23,Ethiopia,231,SubSaharanAfrica,947,1072032,732293,531374,395359,506670,1048914,1017711,563469,381109,271791,201302,267202,541588,505810,508563,351184,259583,194057,239468,507326,511901
24,Kenya,404,SubSaharanAfrica,947,195916,470547,579780,635707,868730,1037136,971029,104062,241945,288693,326419,430388,516938,489063,91854,228602,291087,309288,438342,520198,481966
25,Madagascar,450,SubSaharanAfrica,947,8179,7242,8050,8910,9876,10953,12153,4565,4070,4540,5042,5605,6238,6917,3614,3172,3510,3868,4271,4715,5236
26,Malawi,454,SubSaharanAfrica,947,1094691,184685,177801,169610,170909,157004,157089,532898,86677,83182,79094,79823,73179,76009,561793,98008,94619,90516,91086,83825,81080
27,Mauritius,480,SubSaharanAfrica,947,283,473,928,1728,2628,3023,3052,106,271,547,882,1307,1578,1596,177,202,381,846,1321,1445,1456
28,Mayotte,175,SubSaharanAfrica,947,11374,22215,39872,54300,61750,69075,94669,6631,12246,20303,26795,29280,31959,43799,4743,9969,19569,27505,32470,37116,50870
29,Mozambique,508,SubSaharanAfrica,947,110658,152208,177044,243094,277302,295496,313605,59359,81962,92676,116879,132865,141608,151924,51299,70246,84368,126215,144437,153888,161681
