Year,Disaster Subgroup,Disaster Type,Country,ISO,Region,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Affected
1990,Meteorological,Storm,Austria,AUT,Western Europe,1990,5.0,22.0,1990,5.0,22.0,
1990,Meteorological,Storm,Austria,AUT,Western Europe,1990,7.0,1.0,1990,7.0,1.0,
1990,Meteorological,Storm,Austria,AUT,Western Europe,1990,2.0,13.0,1990,2.0,15.0,
1990,Meteorological,Storm,Austria,AUT,Western Europe,1990,2.0,25.0,1990,2.0,27.0,
1990,Meteorological,Storm,Austria,AUT,Western Europe,1990,2.0,28.0,1990,3.0,1.0,
1990,Technological,Miscellaneous accident,Belgium,BEL,Western Europe,1990,12.0,3.0,1990,12.0,3.0,6.0
1990,Meteorological,Storm,Belgium,BEL,Western Europe,1990,1.0,25.0,1990,1.0,26.0,
1990,Meteorological,Storm,Belgium,BEL,Western Europe,1990,2.0,3.0,1990,2.0,4.0,
1990,Meteorological,Storm,Belgium,BEL,Western Europe,1990,2.0,7.0,1990,2.0,8.0,
1990,Meteorological,Storm,Belgium,BEL,Western Europe,1990,2.0,13.0,1990,2.0,15.0,
1990,Meteorological,Storm,Belgium,BEL,Western Europe,1990,2.0,25.0,1990,2.0,27.0,
1990,Meteorological,Storm,Belgium,BEL,Western Europe,1990,2.0,28.0,1990,3.0,1.0,
1990,Geophysical,Earthquake,Bulgaria,BGR,Eastern Europe,1990,5.0,30.0,1990,5.0,30.0,
1990,Technological,Transport accident,Switzerland,CHE,Western Europe,1990,11.0,20.0,1990,11.0,20.0,
1990,Meteorological,Storm,Switzerland,CHE,Western Europe,1990,7.0,29.0,1990,7.0,29.0,
1990,Meteorological,Storm,Switzerland,CHE,Western Europe,1990,2.0,13.0,1990,2.0,15.0,
1990,Meteorological,Storm,Switzerland,CHE,Western Europe,1990,2.0,25.0,1990,2.0,27.0,
1990,Meteorological,Storm,Switzerland,CHE,Western Europe,1990,2.0,27.0,1990,3.0,1.0,
1990,Technological,Industrial accident,Czechoslovakia,CSK,Eastern Europe,1990,10.0,19.0,1990,10.0,19.0,
1990,Technological,Industrial accident,Germany,DEU,Western Europe,1990,1.0,17.0,1990,1.0,17.0,182.0
1990,Meteorological,Storm,Germany,DEU,Western Europe,1990,1.0,25.0,1990,1.0,26.0,
1990,Meteorological,Storm,Germany,DEU,Western Europe,1990,2.0,3.0,1990,2.0,4.0,
1990,Meteorological,Storm,Germany,DEU,Western Europe,1990,2.0,7.0,1990,2.0,8.0,
1990,Meteorological,Storm,Germany,DEU,Western Europe,1990,2.0,13.0,1990,2.0,15.0,
1990,Meteorological,Storm,Germany,DEU,Western Europe,1990,2.0,25.0,1990,2.0,27.0,
1990,Meteorological,Storm,Germany,DEU,Western Europe,1990,2.0,28.0,1990,3.0,1.0,
1990,Technological,Transport accident,Germany Fed Rep,DFR,Western Europe,1990,8.0,29.0,1990,8.0,29.0,
1990,Technological,Transport accident,Germany Fed Rep,DFR,Western Europe,1990,2.0,2.0,1990,2.0,2.0,72.0
1990,Meteorological,Storm,Denmark,DNK,Northern Europe,1990,1.0,25.0,1990,1.0,26.0,
1990,Meteorological,Storm,Denmark,DNK,Northern Europe,1990,2.0,25.0,1990,2.0,27.0,
1990,Meteorological,Storm,Denmark,DNK,Northern Europe,1990,2.0,28.0,1990,3.0,1.0,
1991,Hydrological,Flood,Austria,AUT,Western Europe,1991,8.0,2.0,1991,8.0,6.0,
1991,Meteorological,Storm,Austria,AUT,Western Europe,1991,7.0,13.0,1991,7.0,14.0,
1991,Hydrological,Flood,Germany Fed Rep,DFR,Western Europe,1991,8.0,1.0,1991,8.0,5.0,
1991,Technological,Industrial accident,Albania,ALB,Southern Europe,1991,12.0,7.0,1991,12.0,7.0,
1991,Technological,Transport accident,Austria,AUT,Western Europe,1991,8.0,8.0,1991,8.0,8.0,30.0
1991,Technological,Industrial accident,Belgium,BEL,Western Europe,1991,8.0,16.0,1991,8.0,16.0,100.0
1991,Technological,Industrial accident,Switzerland,CHE,Western Europe,1991,1.0,4.0,1991,1.0,4.0,200.0
1991,Technological,Industrial accident,Czechoslovakia,CSK,Eastern Europe,1991,1.0,9.0,1991,1.0,9.0,
1991,Technological,Transport accident,Germany,DEU,Western Europe,1991,12.0,22.0,1991,12.0,22.0,4.0
1991,Meteorological,Storm,Germany,DEU,Western Europe,1991,1.0,5.0,1991,1.0,6.0,
1991,Technological,Miscellaneous accident,Denmark,DNK,Northern Europe,1991,3.0,27.0,1991,3.0,27.0,100.0
1992,Hydrological,Flood,Albania,ALB,Southern Europe,1992,11.0,17.0,1992,11.0,19.0,35000.0
1992,Geophysical,Earthquake,Belgium,BEL,Western Europe,1992,4.0,13.0,1992,4.0,13.0,
1992,Geophysical,Earthquake,Germany,DEU,Western Europe,1992,4.0,13.0,1992,4.0,13.0,1525.0
1992,Technological,Transport accident,Germany,DEU,Western Europe,1992,9.0,6.0,1992,9.0,6.0,32.0
1992,Technological,Transport accident,Germany,DEU,Western Europe,1992,11.0,15.0,1992,11.0,15.0,52.0
1992,Hydrological,Flood,Germany,DEU,Western Europe,1992,8.0,28.0,1992,8.0,30.0,
1992,Climatological,Drought,Denmark,DNK,Northern Europe,1992,5.0,,1992,7.0,,
1993,Meteorological,Storm,Switzerland,CHE,Western Europe,1993,7.0,4.0,1993,7.0,5.0,
1993,Meteorological,Storm,Germany,DEU,Western Europe,1993,7.0,5.0,1993,7.0,6.0,
1993,Meteorological,Storm,Switzerland,CHE,Western Europe,1993,9.0,22.0,1993,9.0,25.0,
1993,Meteorological,Storm,Austria,AUT,Western Europe,1993,7.0,5.0,1993,7.0,6.0,
1993,Hydrological,Flood,Belgium,BEL,Western Europe,1993,1.0,11.0,1993,1.0,11.0,600.0
1993,Hydrological,Flood,Belgium,BEL,Western Europe,1993,12.0,20.0,1993,12.0,31.0,
1993,Technological,Transport accident,Belgium,BEL,Western Europe,1993,6.0,3.0,1993,6.0,3.0,27.0
1993,Meteorological,Storm,Bulgaria,BGR,Eastern Europe,1993,3.0,8.0,1993,3.0,8.0,5000.0
1993,Technological,Transport accident,Bulgaria,BGR,Eastern Europe,1993,4.0,7.0,1993,4.0,7.0,19.0
1993,Hydrological,Flood,Belarus,BLR,Eastern Europe,1993,7.0,25.0,1993,8.0,12.0,40000.0
1993,Meteorological,Storm,Switzerland,CHE,Western Europe,1993,5.0,19.0,1993,5.0,19.0,
1993,Hydrological,Flood,Germany,DEU,Western Europe,1993,12.0,21.0,1993,12.0,31.0,100000.0
1993,Meteorological,Storm,Germany,DEU,Western Europe,1993,1.0,14.0,1993,1.0,14.0,
1994,Meteorological,Storm,Austria,AUT,Western Europe,1994,1.0,27.0,1994,1.0,29.0,
1994,Meteorological,Storm,Switzerland,CHE,Western Europe,1994,1.0,27.0,1994,1.0,29.0,
1994,Hydrological,Flood,Germany,DEU,Western Europe,1994,1.0,7.0,1994,1.0,12.0,
1994,Hydrological,Flood,Germany,DEU,Western Europe,1994,4.0,13.0,1994,4.0,13.0,
1994,Meteorological,Storm,Germany,DEU,Western Europe,1994,1.0,27.0,1994,1.0,29.0,
1990,Climatological,Drought,Greece,GRC,Southern Europe,1990,3.0,,1990,3.0,,
1990,Technological,Transport accident,Spain,ESP,Southern Europe,1990,12.0,28.0,1990,12.0,28.0,26.0
1990,Technological,Transport accident,Spain,ESP,Southern Europe,1990,10.0,18.0,1990,10.0,18.0,
1990,Climatological,Drought,Spain,ESP,Southern Europe,1990,9.0,,1995,,,6000000.0
