Source:|EM-DAT, CRED / UCLouvain, Brussels, Belgium||||||||||||||||||||||||||||||||||||||||||||||||
|www.emdat.be||||||||||||||||||||||||||||||||||||||||||||||||
Version:|2023-02-11||||||||||||||||||||||||||||||||||||||||||||||||
File creation:|Sat, 11 Feb 2023 21:46:18 CET||||||||||||||||||||||||||||||||||||||||||||||||
Table type:|Custom request||||||||||||||||||||||||||||||||||||||||||||||||
# of records:|2361||||||||||||||||||||||||||||||||||||||||||||||||
Dis No|Year|Seq|Glide|Disaster Group|Disaster Subgroup|Disaster Type|Disaster Subtype|Disaster Subsubtype|Event Name|Country|ISO|Region|Continent|Location|Origin|Associated Dis|Associated Dis2|OFDA Response|Appeal|Declaration|'AID Contribution (''000 US$)'|Dis Mag Value|Dis Mag Scale|Latitude|Longitude|Local Time|River Basin|Start Year|Start Month|Start Day|End Year|End Month|End Day|Total Deaths|No Injured|No Affected|No Homeless|Total Affected|'Reconstruction Costs (''000 US$)'|'Reconstruction Costs, Adjusted (''000 US$)'|'Insured Damages (''000 US$)'|'Insured Damages, Adjusted (''000 US$)'|'Total Damages (''000 US$)'|'Total Damages, Adjusted (''000 US$)'|CPI|Adm Level|Admin1 Code|Admin2 Code|Geo Locations
1990-0361-AUT|1990|0361||Natural|Meteorological|Storm|Convective storm|Severe storm||Austria|AUT|Western Europe|Europe|||Hail|||No|No|||Kph|||||1990|5|22|1990|5|22||||||||28200|63164|||44,6458774383636||||
1990-0376-AUT|1990|0376||Natural|Meteorological|Storm|Convective storm|Severe storm||Austria|AUT|Western Europe|Europe||||||||||Kph|||||1990|7|1|1990|7|1||||||||37700|84442|||44,6458774383636||||
1990-0721-AUT|1990|0721||Natural|Meteorological|Storm|||Ottilie and Polly|Austria|AUT|Western Europe|Europe||||||No|No|||Kph|||||1990|2|13|1990|2|15||||||||||10000|22398|44,6458774383636||||
1990-0722-AUT|1990|0722||Natural|Meteorological|Storm|||Vivian|Austria|AUT|Western Europe|Europe||||||No|No|||Kph|||||1990|2|25|1990|2|27||||||||80000|179188|120000|268782|44,6458774383636||||
1990-0723-AUT|1990|0723||Natural|Meteorological|Storm|||Wiebke|Austria|AUT|Western Europe|Europe||||||No|No|||Kph|||||1990|2|28|1990|3|1|3|||||||80000|179188|120000|268782|44,6458774383636||||
1990-0619-BEL|1990|0619||Technological|Technological|Miscellaneous accident|Fire|||Belgium|BEL|Western Europe|Europe|Jette (Brussels)||||||||||||||1990|12|3|1990|12|3|13|6|||6|||||||44,6458774383636||||
1990-0717-BEL|1990|0717||Natural|Meteorological|Storm|||Daria|Belgium|BEL|Western Europe|Europe||||||No|No|||Kph|||||1990|1|25|1990|1|26|10|||||||250000|559962|350000|783947|44,6458774383636||||
1990-0718-BEL|1990|0718||Natural|Meteorological|Storm|||Herta|Belgium|BEL|Western Europe|Europe||||||No|No|||Kph|||||1990|2|3|1990|2|4||||||||120000|268782|180000|403173|44,6458774383636||||
1990-0719-BEL|1990|0719||Natural|Meteorological|Storm|||Judith|Belgium|BEL|Western Europe|Europe||||||No|No|||Kph|||||1990|2|7|1990|2|8||||||||||60000|134391|44,6458774383636||||
