Source:|EM-DAT, CRED / UCLouvain, Brussels, Belgium||||||||||||||||||||||||||||||||||||||||||||||||
|www.emdat.be||||||||||||||||||||||||||||||||||||||||||||||||
Version:|2023-02-11||||||||||||||||||||||||||||||||||||||||||||||||
File creation:|Sat, 11 Feb 2023 21:46:46 CET||||||||||||||||||||||||||||||||||||||||||||||||
Table type:|Custom request||||||||||||||||||||||||||||||||||||||||||||||||
# of records:|522||||||||||||||||||||||||||||||||||||||||||||||||
Dis No|Year|Seq|Glide|Disaster Group|Disaster Subgroup|Disaster Type|Disaster Subtype|Disaster Subsubtype|Event Name|Country|ISO|Region|Continent|Location|Origin|Associated Dis|Associated Dis2|OFDA Response|Appeal|Declaration|'AID Contribution (''000 US$)'|Dis Mag Value|Dis Mag Scale|Latitude|Longitude|Local Time|River Basin|Start Year|Start Month|Start Day|End Year|End Month|End Day|Total Deaths|No Injured|No Affected|No Homeless|Total Affected|'Reconstruction Costs (''000 US$)'|'Reconstruction Costs, Adjusted (''000 US$)'|'Insured Damages (''000 US$)'|'Insured Damages, Adjusted (''000 US$)'|'Total Damages (''000 US$)'|'Total Damages, Adjusted (''000 US$)'|CPI|Adm Level|Admin1 Code|Admin2 Code|Geo Locations
1990-0724-AUS|1990|0724||Natural|Hydrological|Flood|Coastal flood|||Australia|AUS|Australia and New Zealand|Oceania|Queensland Coast, Rockhampton|Extra-tropical cyclone||||No|Yes||96490|Km2||||Fitzroy|1990|12|25|1991|1|16|6|||||||||78200|175156|44,6458774383636||||
1990-0087-AUS|1990|0087||Natural|Hydrological|Flood|Riverine flood|||Australia|AUS|Australia and New Zealand|Oceania|From South Queensland to Central New South Wales|Heavy rain||||No|No|||Km2||||Warrego River, Bogan River|1990|4|18|1990|4|24|6||6000||6000|||||195500|437890|44,6458774383636||||
1990-0422-AUS|1990|0422||Natural|Meteorological|Storm|Tropical cyclone||Joy|Australia|AUS|Australia and New Zealand|Oceania|Queensland|||||||||Kph|||||1990|12|25|1990|12|25||||||||||155600|348520|44,6458774383636||||
1990-0269-AUS|1990|0269||Natural|Climatological|Wildfire|Land fire (Brush, Bush, Pasture)|||Australia|AUS|Australia and New Zealand|Oceania|South New South Wales, North Victoria||||||||500|Km2|||||1990|1|3|1990|1|3||||||||||||44,6458774383636||||
1990-0275-AUS|1990|0275||Technological|Technological|Transport accident|Air||Jet|Australia|AUS|Australia and New Zealand|Oceania|Queensland||||||||||||||1990|5||1990|5||10|||||||||||44,6458774383636||||
1990-0277-AUS|1990|0277||Technological|Technological|Transport accident|Road|||Australia|AUS|Australia and New Zealand|Oceania|Queensland||||||||||||||1990|9||1990|9||11|||||||||||44,6458774383636||||
1990-0487-AUS|1990|0487||Technological|Technological|Transport accident|Water||Boat "Dahlia Li"|Australia|AUS|Australia and New Zealand|Oceania|Indian Ocean||||||||||||||1990|3|18|1990|3|18|26|||||||||||44,6458774383636||||
1990-0088-AUS|1990|0088||Technological|Technological|Industrial accident|Explosion||Tank|Australia|AUS|Australia and New Zealand|Oceania|Sydney|||||||||m3|||||1990|4|3|1990|4|3|||2000||2000|||||||44,6458774383636||||
