Subregion;porcentaje;cant_per;gust_sub;clas_gsub;sex;
África central;" 1,91 ";3;2;high;0;
África meridional;" 4,46 ";7;1;high;0;
África occidental;" 1,91 ";3;3;medium;0;
África oriental;" 1,27 ";2;4;low;0;
África septentrional;" 0,64 ";1;5;low;0;
América central;" 0,64 ";1;3;medium;1;
América del Sur;" 1,91 ";3;2;high;0;
América septentrional;" 10,19 ";16;1;high;1;
Asia central;" 5,10 ";8;2;high;0;
Asia meridional;" 0,64 ";1;4;low;0;
Asia occidental;" 10,83 ";17;1;high;0;
Asia oriental;" 0,64 ";1;5;low;0;
Asia sudoriental;" 1,27 ";2;3;medium;0;
Australia y Nueva Zelandia;" 19,11 ";30;1;high;0;
El Caribe;" 2,55 ";4;2;high;0;
Europa meridional;" 7,64 ";12;3;medium;1;
Europa occidental;" 10,83 ";17;1;high;1;
Europa oriental;" 5,10 ";8;4;low;1;
Europa septentrional;" 9,55 ";15;2;high;1;
Melanesia;" 0,64 ";1;3;medium;0;
Micronesia;" 1,91 ";3;1;high;1;
Polinesia;" 1,27 ";2;2;high;0;
;;;;;;
;;;;;;
;;;;;;
