id_challenge,tipo_de_challenge,resultado
Dic-2022-18,Abogado,exitoso
Dic-2022-28,Abogado,exitoso
Dic-2022-5,Presencial,exitoso
Dic-2022-12,Presencial,exitoso
Dic-2022-9,Donacion,exitoso
Dic-2022-1,Donacion,exitoso
Dic-2022-11,Presencial,exitoso
Dic-2022-2,Presencial,discontinuado
Dic-2022-4,Donacion,discontinuado
Dic-2022-8,Donacion,discontinuado
Dic-2022-13,Donacion,discontinuado
Dic-2022-15,Donacion,discontinuado
Dic-2022-17,Donacion,discontinuado
Dic-2022-20,Presencial,discontinuado
Dic-2022-22,Donacion,discontinuado
Dic-2022-24,Donacion,discontinuado
Dic-2022-26,Traductor,discontinuado
