id_challenge,tipo_de_challenge,resultado
Enero-2022-11,Piloto,exitoso
Enero-2022-10,Abogado,exitoso
Enero-2022-14,Donacion,exitoso
Enero-2022-1,Donacion,discontinuado
Enero-2022-3,Donacion,discontinuado
Enero-2022-5,Presencial,discontinuado
Enero-2022-8,Donacion,discontinuado
Enero-2022-12,Donacion,discontinuado
Enero-2022-15,Donacion,discontinuado
Enero-2022-17,Donacion,discontinuado
Enero-2022-19,Donacion,discontinuado
Enero-2022-21,Presencial,discontinuado
Enero-2022-23,Traductor,discontinuado
Enero-2022-25,Abogado,discontinuado
