id_challenge,tipo_de_challenge,resultado
Julio-2022-8,Donacion,exitoso
Julio-2022-6,Presencial,exitoso
Julio-2022-3,Donacion,exitoso
Julio-2022-2,Traductor,exitoso
Julio-2022-17,Traductor,exitoso
Julio-2022-1,Donacion,discontinuado
Julio-2022-5,Donacion,discontinuado
Julio-2022-10,Donacion,discontinuado
Julio-2022-12,Donacion,discontinuado
Julio-2022-14,Donacion,discontinuado
Julio-2022-16,Donacion,discontinuado
Julio-2022-19,Donacion,discontinuado
Julio-2022-21,Donacion,discontinuado
Julio-2022-23,Donacion,discontinuado
