id_challenge,tipo_de_challenge,resultado
Nov-2022-5,Traductor,exitoso
Nov-2022-2,Donacion,exitoso
Nov-2022-15,Traductor,exitoso
Nov-2022-30,Abogado,exitoso
Nov-2022-6,Presencial,exitoso
Nov-2022-13,Traductor,exitoso
Nov-2022-10,Donacion,exitoso
Nov-2022-23,Donacion,exitoso
Nov-2022-29,Abogado,exitoso
Nov-2022-9,Donacion,exitoso
Nov-2022-1,Donacion,discontinuado
Nov-2022-4,Donacion,discontinuado
Nov-2022-11,Donacion,discontinuado
Nov-2022-14,Donacion,discontinuado
Nov-2022-17,Traductor,discontinuado
Nov-2022-19,Donacion,discontinuado
Nov-2022-21,Traductor,discontinuado
Nov-2022-24,Donacion,discontinuado
Nov-2022-26,Presencial,discontinuado
Nov-2022-28,Donacion,discontinuado
