id_challenge,tipo_de_challenge,resultado
Oct-2022-1,Traductor,exitoso
Oct-2022-2,Donacion,exitoso
Oct-2022-8,Donacion,exitoso
Oct-2022-4,Donacion,exitoso
Oct-2022-5,Donacion,exitoso
Oct-2022-3,Donacion,exitoso
Oct-2022-10,Presencial,exitoso
Oct-2022-16,Traductor,exitoso
Oct-2022-21,Presencial,exitoso
Oct-2022-23,Donacion,exitoso
Oct-2022-6,Presencial,discontinuado
Oct-2022-11,Donacion,discontinuado
Oct-2022-13,Donacion,discontinuado
Oct-2022-15,Donacion,discontinuado
Oct-2022-18,Donacion,discontinuado
Oct-2022-20,Donacion,discontinuado
Oct-2022-24,Donacion,discontinuado
