id_challenge,tipo_de_challenge,resultado
Sep-2022-8,Abogado,exitoso
Sep-2022-6,Presencial,exitoso
Sep-2022-5,Donacion,exitoso
Sep-2022-12,Donacion,exitoso
Sep-2022-2,Donacion,exitoso
Sep-2022-14,Presencial,exitoso
Sep-2022-1,Donacion,exitoso
Sep-2022-13,Donacion,exitoso
Sep-2022-10,Donacion,exitoso
Sep-2022-18,Traductor,exitoso
Sep-2022-3,Donacion,discontinuado
Sep-2022-9,Donacion,discontinuado
Sep-2022-15,Donacion,discontinuado
Sep-2022-17,Piloto,discontinuado
Sep-2022-20,Donacion,discontinuado
Sep-2022-22,Donacion,discontinuado
